Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,554.00,567.30,546.00,558.95,5434900,554.49
2015-06-22,556.55,579.50,556.55,565.50,5949300,560.99
2015-06-15,553.90,557.40,540.05,551.55,5812900,547.15
2015-06-08,547.00,570.20,540.80,551.45,6517000,547.05
2015-06-01,586.90,588.90,538.55,548.40,5939100,544.03
2015-05-25,568.10,587.30,558.20,585.40,4343300,580.73
2015-05-18,563.30,576.65,556.50,568.65,5035700,564.11
2015-05-11,545.50,567.30,529.90,562.05,6073900,557.57
2015-05-04,571.40,576.00,523.30,540.80,6650700,536.49
2015-04-27,529.40,582.40,519.10,567.80,7824300,563.27
2015-04-20,534.10,548.70,507.00,527.25,6797100,523.04
2015-04-13,570.00,573.50,531.80,533.70,5474400,529.44
2015-04-06,571.95,577.00,551.10,568.05,6280300,563.52
2015-03-30,552.50,573.50,549.35,569.65,3271100,565.11
2015-03-23,559.90,567.15,526.10,546.40,7193500,542.04
2015-03-16,569.50,595.55,551.70,556.25,6757200,551.81
2015-03-09,610.00,610.00,564.10,570.00,5782500,565.45
2015-03-02,630.00,654.90,603.50,616.80,7406800,611.88
2015-02-23,563.50,570.35,542.00,567.15,5559900,562.63
2015-02-16,583.00,584.00,553.25,561.50,4071000,557.02
2015-02-09,555.00,588.75,540.50,581.10,6165500,576.46
2015-02-02,586.00,625.60,545.75,563.15,8188400,558.66
2015-01-26,565.15,604.05,565.15,588.10,4333600,583.41
2015-01-19,519.45,577.40,516.85,565.15,5605700,560.64
2015-01-12,495.00,523.95,492.15,514.80,4584800,510.69
2015-01-05,516.90,520.40,487.00,494.95,4561400,491.00
2014-12-29,495.00,516.90,490.00,514.30,2357700,510.20
2014-12-22,491.40,506.00,486.50,494.45,2376500,490.51
2014-12-15,480.00,496.90,464.20,490.25,4291400,486.34
2014-12-08,499.95,503.00,480.10,483.40,2937900,479.54
2014-12-01,484.40,506.40,481.15,498.55,3551600,494.57
2014-11-24,479.00,485.80,462.65,481.20,4654900,477.36
2014-11-17,477.90,482.50,462.90,476.95,2966900,473.15
2014-11-10,471.00,485.90,458.65,476.90,4232200,473.10
2014-11-03,442.00,472.40,437.40,469.05,2950200,465.31
2014-10-27,424.60,440.40,420.35,439.40,3000900,435.89
2014-10-20,413.85,427.90,410.00,424.45,2596200,421.06
2014-10-13,375.95,405.00,373.00,401.60,3360200,398.40
2014-10-06,379.95,389.80,372.30,379.20,2432200,376.18
2014-09-29,391.70,391.70,374.00,379.95,2178700,376.92
2014-09-22,403.80,412.00,370.25,389.55,4059700,386.44
2014-09-15,414.90,414.90,393.80,407.65,3192900,404.40
2014-09-08,417.65,423.80,414.15,416.95,2289700,413.62
2014-09-01,398.95,419.25,397.50,415.95,3676500,412.63
2014-08-25,402.50,407.35,390.00,397.25,2357900,394.08
2014-08-18,377.80,405.00,375.85,402.80,4093400,399.59
2014-08-11,374.00,383.15,371.00,377.80,2042600,374.79
2014-08-04,391.70,395.50,369.05,371.00,3759000,368.04
2014-07-28,403.45,407.35,384.90,387.00,4047700,383.91
2014-07-21,402.80,408.61,396.50,399.34,6144800,79.23
2014-07-14,1817.80,1975.00,386.50,399.16,4617500,79.20
2014-07-07,1937.50,1942.15,1807.60,1816.65,5524900,360.43
2014-06-30,1932.00,1950.00,1911.00,1935.90,4353400,384.09
2014-06-23,1862.00,1939.00,1855.05,1909.20,5069700,378.79
2014-06-16,1812.00,1883.70,1750.00,1866.35,7102600,370.29
2014-06-09,1985.00,1989.60,1810.70,1818.00,4661400,360.70
2014-06-02,1832.25,1983.50,1822.55,1973.60,5107000,371.40
2014-05-26,1877.00,1928.80,1824.00,1836.15,6755300,345.53
2014-05-19,1777.00,1899.40,1777.00,1864.50,6679500,350.86
