Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,247.00,250.75,242.80,247.90,2349900,247.171
2015-06-22,243.05,259.95,242.50,250.95,4171800,250.212
2015-06-15,248.50,251.30,238.15,241.25,2338900,240.54
2015-06-08,246.00,253.40,240.10,248.30,2540500,247.569
2015-06-01,251.10,257.50,240.70,246.75,2809400,246.024
2015-05-25,233.05,258.00,229.30,251.65,6086600,250.91
2015-05-18,231.00,239.95,227.60,234.00,2018300,233.311
2015-05-11,232.20,238.40,221.55,230.95,2808100,230.27
2015-05-04,240.90,249.00,224.10,231.35,2525400,230.669
2015-04-27,235.60,243.20,224.70,238.05,3119500,237.35
2015-04-20,236.60,236.60,222.55,234.00,2685900,233.311
2015-04-13,235.00,244.45,229.20,234.85,2612400,234.159
2015-04-06,230.35,239.40,227.60,234.60,3192100,233.91
2015-03-30,235.00,242.00,229.60,230.70,2066700,230.021
2015-03-23,246.30,246.60,228.00,232.80,3424500,232.115
2015-03-16,256.15,266.15,245.00,245.75,2677300,245.027
2015-03-09,267.00,267.95,253.50,254.75,2437500,254.00
2015-03-02,263.45,278.70,263.45,270.35,3078900,269.554
2015-02-23,277.00,281.75,262.25,270.90,4905600,270.103
2015-02-16,259.35,276.30,255.00,275.25,3002300,274.44
2015-02-09,261.50,269.40,250.75,259.35,4657900,258.048
2015-02-02,291.40,300.00,263.25,264.15,3491400,262.824
2015-01-26,279.10,297.80,273.15,291.75,3973400,290.286
2015-01-19,274.20,288.40,273.05,279.10,4171000,277.699
2015-01-12,254.60,275.90,253.10,273.85,3851200,272.476
2015-01-05,276.00,278.40,250.00,254.75,3386700,253.472
2014-12-29,252.60,276.95,252.60,275.30,3341800,273.918
2014-12-22,259.65,269.70,250.05,251.55,3897200,250.288
2014-12-15,244.90,265.70,240.50,259.05,4661200,257.75
2014-12-08,272.55,275.25,243.80,247.35,4441700,246.109
2014-12-01,281.75,283.45,269.50,272.20,3631500,270.834
2014-11-24,252.15,287.75,252.15,283.80,7673800,282.376
2014-11-17,243.25,256.70,240.50,252.25,3441400,250.984
2014-11-10,249.10,256.30,236.15,245.85,4646700,244.616
2014-11-03,258.00,261.85,248.05,249.00,2603600,247.75
2014-10-27,248.00,258.65,241.25,256.70,6493500,255.412
2014-10-20,231.70,243.85,224.15,241.70,3559100,240.487
2014-10-13,216.65,229.80,215.75,226.75,4581700,225.612
2014-10-06,199.45,225.40,194.20,221.60,7587400,220.488
2014-09-29,205.90,211.40,198.60,199.45,2395200,198.449
2014-09-22,224.50,225.45,200.30,205.35,5118500,204.319
2014-09-15,218.50,232.60,214.80,226.50,5476800,225.363
2014-09-08,223.45,225.80,216.10,220.70,4153900,219.592
2014-09-01,240.70,243.50,221.10,222.80,5791900,220.169
2014-08-25,228.35,243.95,224.10,240.90,5689200,238.056
2014-08-18,212.00,232.40,211.60,227.50,5441400,224.814
2014-08-11,223.10,225.00,204.50,212.95,6073200,210.436
2014-08-04,225.10,234.40,219.50,220.90,3953200,218.292
2014-07-28,228.15,234.80,223.10,224.10,3297300,221.454
2014-07-21,239.00,241.50,222.50,227.05,3886400,224.369
2014-07-14,223.70,245.25,219.10,238.65,4934600,235.832
2014-07-07,264.00,266.60,221.70,223.25,8329400,220.614
2014-06-30,245.50,263.75,245.50,262.90,6360000,259.796
2014-06-23,238.50,255.50,238.10,244.45,6918200,241.564
2014-06-16,238.00,250.40,232.10,238.80,5951300,235.981
2014-06-09,264.10,266.25,233.20,237.75,7764400,234.943
2014-06-02,244.00,264.00,242.60,262.75,8554600,259.648
2014-05-26,275.00,291.50,240.50,242.20,12207700,239.34
2014-05-19,231.10,287.80,231.05,272.15,15408100,268.937
2014-05-12,195.00,235.00,194.50,231.60,10737700,228.866
2014-05-05,180.00,195.00,176.65,194.05,4079100,191.759
2014-04-28,191.20,191.95,177.45,180.35,4176800,178.221
2014-04-21,182.00,195.25,182.00,191.20,3576400,188.943
2014-04-14,185.45,185.75,172.70,181.25,2213200,179.11
2014-04-07,180.60,187.90,176.00,185.45,3908500,183.26
2014-03-31,201.00,201.80,182.05,183.50,4211400,181.333
2014-03-24,187.80,202.15,186.30,200.10,5244100,197.738
2014-03-17,187.95,194.00,183.20,187.75,2880500,185.533
2014-03-10,183.90,193.35,178.50,187.95,4156000,185.731
2014-03-03,168.30,187.40,160.80,184.85,4354900,182.668
2014-02-24,150.60,168.90,150.20,167.75,3434100,165.769
2014-02-17,147.60,152.40,146.30,150.60,3400400,148.822
2014-02-10,155.70,158.75,145.55,148.50,4018900,146.747
2014-02-03,170.00,173.80,153.00,155.75,5913600,153.911
2014-01-27,162.00,175.60,160.45,172.75,3860500,169.287
2014-01-20,171.75,174.40,163.70,165.00,2851500,161.692
2014-01-13,163.00,173.00,161.55,171.85,2748400,168.405
2014-01-06,165.45,170.25,161.20,163.00,3594000,159.732
2013-12-30,173.50,181.20,163.90,165.45,3682900,162.133
2013-12-23,166.15,175.85,165.55,173.25,3313900,169.777
2013-12-16,154.00,167.20,152.65,166.15,4692000,162.819
2013-12-09,176.25,176.95,154.00,154.60,5610500,151.501
2013-12-02,157.00,175.90,156.60,171.40,7844200,167.964
2013-11-25,138.10,158.65,138.05,156.35,8805500,153.216
2013-11-18,137.30,144.65,136.00,137.15,3312500,134.401
2013-11-11,134.80,136.80,131.00,135.80,2484300,133.078
2013-11-04,143.55,145.00,131.25,135.70,8119200,132.98
2013-10-28,138.20,145.30,131.15,143.55,6179900,140.672
2013-10-21,147.80,149.20,136.05,137.35,4882900,134.597
