Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,932.00,949.45,911.00,919.75,1577800,909.60
2015-06-22,919.20,960.00,912.00,957.25,1274100,946.6862
2015-06-15,899.00,937.50,891.00,918.20,1219800,908.0671
2015-06-08,919.00,946.00,882.75,896.35,1792700,886.4583
2015-06-01,992.80,998.50,925.50,929.00,1436300,918.748
2015-05-25,985.00,1044.95,958.50,1010.75,2339400,999.5958
2015-05-18,917.50,988.00,901.90,984.15,1376400,973.2894
2015-05-11,934.50,949.50,907.50,913.90,1448900,903.8146
2015-05-04,880.55,948.75,865.80,925.50,1862600,915.2866
2015-04-27,896.05,905.95,854.35,880.55,2100700,870.8326
2015-04-20,945.00,947.70,835.10,896.95,3855100,887.0516
2015-04-13,967.90,978.50,933.50,940.10,1139200,925.5703
2015-04-06,933.00,977.70,912.15,967.25,2117500,952.3007
2015-03-30,966.00,986.20,935.00,940.85,1528200,926.3087
2015-03-23,980.55,1017.80,954.90,962.85,2804200,947.9687
2015-03-16,1010.00,1034.45,965.75,979.90,5330700,964.7552
2015-03-09,2056.76,2116.8999,990.525,1006.30,3330400,495.3736
2015-03-02,2040.90,2074.8999,1985.05,2065.00,1528300,1016.5422
2015-02-23,2000.00,2027.70,1955.65,2022.00,1755000,995.3745
2015-02-16,1995.05,2055.00,1980.60,2000.76,1615700,984.9186
2015-02-09,1941.00,2009.50,1921.20,1992.95,2025000,981.074
2015-02-02,1800.00,1997.00,1798.05,1954.70,3599000,962.2446
2015-01-26,1646.65,1820.00,1607.55,1791.75,3480100,874.6022
2015-01-19,1650.00,1730.00,1631.30,1646.65,2242800,803.7749
2015-01-12,1555.10,1644.10,1540.70,1639.00,1655400,800.0407
2015-01-05,1615.00,1615.00,1492.70,1545.55,1909300,754.4252
2014-12-29,1576.00,1618.95,1563.80,1605.25,768400,783.5664
2014-12-22,1584.05,1594.90,1415.00,1564.65,1587600,763.7485
2014-12-15,1499.90,1601.00,1450.00,1589.20,2087400,775.7319
2014-12-08,1591.10,1594.00,1506.00,1512.50,1988500,738.2926
