Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,148.10,150.20,145.20,147.70,5316600,145.25
2015-06-22,148.45,156.15,148.30,152.70,4272400,150.17
2015-06-15,145.35,151.20,143.40,147.60,3557400,145.15
2015-06-08,147.65,149.20,143.30,145.40,3111600,142.99
2015-06-01,154.90,156.20,144.00,147.80,4985800,145.35
2015-05-25,154.60,155.70,152.35,154.55,8252800,151.99
2015-05-18,157.45,158.30,153.10,154.65,4805700,152.09
2015-05-11,161.20,162.35,152.90,156.70,4936100,154.10
2015-05-04,169.35,169.85,152.30,160.10,6805200,157.45
2015-04-27,167.65,169.15,161.95,167.90,5037600,165.12
2015-04-20,168.75,170.90,164.00,167.00,4075300,164.23
2015-04-13,177.30,177.80,167.15,168.35,3932500,165.56
2015-04-06,173.20,178.85,169.50,176.05,6082300,173.13
2015-03-30,169.30,173.45,165.65,172.70,2195500,169.84
2015-03-23,167.70,169.35,160.00,168.10,6449000,165.31
2015-03-16,166.00,171.80,165.15,167.15,3860500,164.38
2015-03-09,176.85,177.00,165.20,166.10,5043300,163.35
2015-03-02,175.00,188.00,173.00,178.65,8263200,175.69
2015-02-23,170.45,172.90,163.45,172.20,5143700,169.35
2015-02-16,173.50,175.20,168.40,169.75,3590400,166.94
2015-02-09,164.50,174.50,162.15,173.30,4189500,170.43
2015-02-02,172.50,179.20,165.00,165.80,7005900,163.05
2015-01-26,174.30,177.75,164.10,172.05,8966600,169.20
2015-01-19,167.20,177.25,166.85,174.30,8763900,171.41
2015-01-12,153.15,169.80,153.15,166.35,8703400,163.59
2015-01-05,158.80,162.30,152.45,154.00,4597400,151.45
2014-12-29,155.10,160.60,155.10,158.80,3137800,156.17
2014-12-22,155.95,158.85,152.10,154.65,3219200,152.09
2014-12-15,154.20,158.70,148.55,155.50,5201900,152.92
2014-12-08,160.45,161.50,152.80,155.80,4756200,153.22
2014-12-01,160.00,166.00,156.40,160.25,5931900,157.59
2014-11-24,157.35,161.80,152.90,159.40,6228700,156.76
2014-11-17,154.40,162.95,153.90,157.35,6951100,154.74
2014-11-10,152.60,159.65,150.10,154.65,6426300,152.09
2014-11-03,158.20,158.40,151.05,152.10,4906400,149.58
2014-10-27,146.60,157.65,143.55,156.30,7531300,153.71
2014-10-20,141.55,147.25,138.10,145.70,3027400,143.29
2014-10-13,138.60,141.85,135.00,139.60,3290100,137.29
2014-10-06,136.25,141.45,134.15,139.95,3979600,137.63
2014-09-29,142.00,142.95,135.10,136.25,3420400,133.99
2014-09-22,146.50,147.00,136.00,142.05,6294900,139.70
2014-09-15,148.00,150.75,141.30,148.00,6177300,145.55
2014-09-08,143.90,152.40,140.65,148.95,9353900,146.48
2014-09-01,144.00,147.50,140.80,143.40,5374000,141.02
2014-08-25,148.70,150.45,140.50,144.25,6265200,141.86
2014-08-18,143.90,153.35,143.90,149.45,6369800,146.97
2014-08-11,147.00,149.15,141.50,145.40,4379300,142.99
2014-08-04,150.10,153.80,143.50,144.45,7555500,142.06
2014-07-28,155.00,158.75,148.05,149.10,8842600,146.63
2014-07-21,165.20,166.65,152.20,154.95,10424600,152.38
2014-07-14,148.80,165.65,145.10,163.95,22588200,161.23
2014-07-07,137.40,159.90,134.30,148.60,30301500,143.81
2014-06-30,129.05,137.95,129.00,134.00,8735300,129.68
2014-06-23,128.15,131.05,125.70,128.35,6137800,124.21
2014-06-16,127.40,133.45,126.00,128.65,6305300,124.50
2014-06-09,137.15,140.15,127.30,128.15,8928900,124.02
2014-06-02,127.50,138.65,122.50,136.30,9903100,131.91
2014-05-26,145.00,147.20,125.15,126.30,11822800,122.23
2014-05-19,125.50,144.00,125.00,143.25,14061300,138.63
2014-05-12,118.15,129.30,116.95,124.10,12037200,120.10
2014-05-05,110.40,117.80,107.30,117.25,6940700,113.47
2014-04-28,111.90,116.40,110.00,110.55,7199400,106.99
2014-04-21,118.90,121.15,113.30,114.10,7166300,110.42
2014-04-14,123.55,124.00,116.05,118.35,5060200,114.54
2014-04-07,125.95,126.90,121.25,123.55,8324800,119.57
2014-03-31,127.40,139.00,117.50,124.95,25649200,120.92
2014-03-24,111.50,126.30,110.50,125.60,13911200,121.55
2014-03-17,114.20,116.00,108.75,109.20,5386400,105.68
2014-03-10,104.80,116.55,104.40,114.20,14987000,110.52
