Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,258.75,263.35,255.00,262.75,14611300,262.75
2015-06-22,260.90,271.20,259.05,265.20,13337500,265.20
2015-06-15,255.00,263.10,248.85,260.15,11699500,260.15
2015-06-08,258.75,262.95,251.80,253.95,15173900,253.95
2015-06-01,278.65,282.00,253.75,257.80,18587800,257.80
2015-05-25,280.20,284.30,274.20,278.15,14008700,278.15
2015-05-18,289.90,305.00,280.75,282.45,24244600,278.9288
2015-05-11,263.40,288.35,262.60,287.45,14117100,283.8665
2015-05-04,274.00,278.00,259.65,261.95,12291600,258.6844
2015-04-27,276.55,276.55,265.15,269.75,10988000,266.3871
2015-04-20,291.00,293.35,274.35,275.55,14188400,272.1148
2015-04-13,287.80,294.90,283.35,291.75,12227500,288.1129
2015-04-06,275.45,287.35,270.30,285.75,13224800,282.1877
2015-03-30,265.10,274.65,263.15,273.45,8833900,270.041
2015-03-23,279.40,280.00,255.20,263.60,17628800,260.3138
2015-03-16,281.50,290.30,276.80,278.25,12281300,274.7812
2015-03-09,292.00,294.00,280.00,280.75,13395400,277.25
2015-03-02,305.90,315.00,289.75,293.80,16990200,290.1373
2015-02-23,303.20,304.60,288.05,299.90,15471100,296.1613
2015-02-16,310.60,313.15,296.80,302.30,13679800,298.5313
2015-02-09,289.50,307.95,275.70,306.95,29708300,303.1234
2015-02-02,309.50,312.00,285.70,290.30,18913800,286.6809
2015-01-26,327.45,336.00,307.00,308.95,15665400,305.0984
2015-01-19,316.55,332.55,312.50,327.45,15011500,323.3678
2015-01-12,304.15,323.70,301.10,315.45,15840900,311.5174
2015-01-05,316.25,316.80,295.15,303.20,12081200,299.4201
2014-12-29,309.50,318.30,306.00,315.25,7638300,311.3199
2014-12-22,306.30,312.50,303.35,307.65,9328400,303.8146
2014-12-15,308.30,316.00,287.00,304.15,19482400,300.3583
2014-12-08,318.60,318.60,303.30,311.35,13000400,307.4685
2014-12-01,322.80,326.95,311.55,317.55,16225300,313.5912
2014-11-24,307.80,322.50,301.00,321.40,19935600,317.3932
2014-11-17,279.40,307.00,279.22,305.50,28381400,301.6914
2014-11-10,275.90,280.69,269.50,278.785,22682700,27.531
2014-11-03,270.60,279.98,269.425,274.25,12509700,27.0831
2014-10-27,2592.00,2679.00,264.60,270.28,18016000,26.6911
2014-10-20,2577.00,2613.5999,2552.75,2575.25,9671500,254.3145
2014-10-13,2437.00,2554.80,2431.20,2521.8999,12989800,249.0461
2014-10-06,2423.3501,2498.50,2346.05,2451.20,11279200,242.0642
2014-09-29,2451.00,2478.00,2412.20,2423.3501,8604400,239.3139
2014-09-22,2551.00,2625.00,2350.05,2445.25,22663900,241.4766
2014-09-15,2613.80,2644.00,2536.9502,2568.00,16369800,253.5986
2014-09-08,2537.20,2641.00,2525.6001,2630.4001,15899100,259.7608
2014-09-01,2477.00,2534.00,2472.8999,2515.75,15351900,248.4387
2014-08-25,2530.00,2577.3999,2453.00,2460.7002,13999300,243.0023
2014-08-18,2355.00,2549.00,2354.00,2524.70,20601700,249.3226
2014-08-11,2430.00,2439.95,2350.0999,2362.50,12318200,233.3048
2014-08-04,2453.00,2484.00,2390.00,2417.95,18641200,238.7806
2014-07-28,2505.20,2532.00,2410.00,2437.20,15096800,240.6816
2014-07-21,2561.00,2582.00,2483.1001,2500.5498,13057600,246.9377
2014-07-14,2420.00,2622.9001,2366.3999,2562.50,17634500,253.0554
2014-07-07,2697.0999,2713.75,2412.00,2425.25,22042500,239.5015
2014-06-30,2650.00,2729.00,2645.5498,2698.1001,14228300,266.4464
2014-06-23,2584.00,2717.55,2567.00,2638.95,17464400,260.6051
2014-06-16,2610.8999,2684.2998,2547.05,2583.1001,20410500,255.0898
2014-06-09,2755.00,2761.50,2586.00,2607.9001,17791100,257.5388
2014-06-02,2549.00,2754.70,2526.70,2739.80,23548800,270.5644
2014-05-26,2834.00,2834.8999,2531.00,2542.25,29701900,251.0557
