Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,515.00,517.60,467.10,477.80,11928300,472.1805
2015-06-22,545.00,558.60,520.05,521.80,2958900,515.663
2015-06-15,551.00,561.00,540.10,544.15,2114800,537.7501
2015-06-08,554.90,564.30,519.05,551.45,2268600,544.9643
2015-06-01,559.00,559.80,540.05,553.50,2306600,546.9902
2015-05-25,664.85,668.90,541.00,554.40,8758600,547.8796
2015-05-18,616.40,669.00,605.00,667.05,2074400,659.2047
2015-05-11,625.00,639.90,606.70,618.35,2017700,611.0774
2015-05-04,622.90,624.90,600.00,621.40,2437900,614.0916
2015-04-27,591.10,626.85,565.10,621.35,2226700,614.0421
2015-04-20,641.00,644.25,578.10,587.50,2906800,580.5903
2015-04-13,664.70,674.40,634.15,641.05,1843400,633.5104
2015-04-06,635.10,680.60,635.10,660.20,2807300,652.4352
2015-03-30,647.90,652.75,618.65,632.70,2381000,625.2587
2015-03-23,684.00,685.45,639.00,645.90,3503300,638.3034
2015-03-16,709.50,720.45,673.00,678.30,6862200,670.3223
2015-03-09,1431.00,1471.876,702.00,704.60,3477300,348.1565
2015-03-02,1439.40,1469.50,1417.526,1439.074,1515800,711.0743
2015-02-23,1405.00,1425.00,1370.00,1417.876,2578500,700.60
2015-02-16,1447.50,1473.974,1397.124,1405.10,2187400,694.2871
2015-02-09,1420.00,1461.20,1374.25,1443.276,1971100,713.1506
2015-02-02,1486.00,1497.55,1420.05,1430.176,3061600,706.6777
2015-01-26,1390.376,1495.75,1380.25,1434.25,2567700,708.6907
2015-01-19,1407.50,1410.00,1374.50,1390.376,1776500,687.0117
2015-01-12,1348.50,1409.974,1342.50,1408.474,2861700,695.9543
2015-01-05,1300.00,1344.95,1256.60,1340.176,1765400,662.207
2014-12-29,1281.00,1315.20,1281.00,1303.624,959600,644.1459
2014-12-22,1290.00,1307.974,1250.55,1283.35,1258900,634.1281
2014-12-15,1280.00,1303.276,1230.70,1289.70,2083300,637.2657
2014-12-08,1309.00,1314.526,1277.50,1294.276,1491300,639.5269
2014-12-01,1322.526,1352.50,1305.05,1309.074,1479800,646.8388
2014-11-24,1337.526,1346.376,1300.574,1320.026,1509400,652.2504
2014-11-17,1315.00,1367.00,1286.15,1338.176,2385300,661.2187
2014-11-10,1328.00,1339.00,1299.00,1319.00,1741000,651.7435
2014-11-03,1259.00,1332.45,1256.65,1325.824,2047300,655.1153
2014-10-27,1178.00,1261.80,1160.176,1258.85,4274600,622.0222
2014-10-20,1154.85,1183.624,1125.50,1167.376,1309800,576.8231
2014-10-13,1171.00,1195.45,1083.00,1136.50,3655800,561.5667
2014-10-06,1260.40,1271.75,1153.35,1169.526,3853800,577.8854
2014-09-29,1239.974,1270.25,1227.85,1260.40,1041200,622.7881
2014-09-22,1239.124,1265.00,1223.30,1236.624,1699300,611.0399
2014-09-15,1215.55,1247.676,1198.526,1239.124,1916500,612.2752
2014-09-08,1246.00,1249.60,1200.526,1222.876,1382400,604.2467
2014-09-01,1172.526,1261.60,1172.526,1234.124,1547000,609.8046
2014-08-25,1157.00,1188.75,1153.50,1181.50,2202100,583.8021
2014-08-18,1075.00,1163.50,1066.85,1153.224,2277900,569.8303
2014-08-11,1102.50,1103.00,1070.50,1075.35,1123100,531.3513
2014-08-04,1065.00,1115.75,1054.574,1094.324,2090500,540.7267
2014-07-28,1090.95,1099.25,1015.076,1063.624,4083200,525.5573
2014-07-21,1063.00,1096.25,1051.05,1088.35,1478900,537.7748
2014-07-14,1025.00,1069.50,1010.00,1060.90,1333100,504.9622
2014-07-07,1068.474,1079.25,1000.00,1024.95,2461700,487.8509
2014-06-30,1063.75,1083.20,1044.20,1057.95,3714900,503.558
2014-06-23,1005.00,1067.75,993.576,1062.85,2653100,505.8904
2014-06-16,1010.45,1024.824,994.424,1004.526,1875600,478.1296
2014-06-09,947.50,1024.10,947.50,1010.674,3624000,481.0559
2014-06-02,965.624,971.60,934.05,955.076,3151300,454.5926
2014-05-26,900.00,969.50,890.00,961.50,4490200,457.6503
2014-05-19,918.00,918.00,865.00,893.174,6847400,425.1288
2014-05-12,889.50,936.55,882.526,911.276,4334900,433.7449
2014-05-05,917.50,923.826,863.326,888.224,1971700,422.7727
2014-04-28,907.00,929.50,898.75,918.80,1950700,437.3261
2014-04-21,894.974,906.00,874.50,902.376,2039800,429.5087
2014-04-14,869.776,890.376,866.60,885.90,2194000,421.6665
2014-04-07,903.00,905.474,838.174,869.776,4708700,413.9919
2014-03-31,908.624,922.00,893.474,906.55,3018300,431.4954
2014-03-24,910.50,937.85,895.50,918.376,4326500,437.1243
2014-03-17,892.624,924.95,865.50,904.474,3001900,430.5073
2014-03-10,919.224,922.60,878.40,892.624,3094600,424.867
2014-03-03,935.00,968.45,912.624,918.00,3588400,436.9453
2014-02-24,922.50,945.474,906.674,933.624,4832500,444.382
2014-02-17,917.50,929.974,906.424,924.10,1713200,439.8488
2014-02-10,911.624,941.95,900.50,915.924,3206600,435.9572
2014-02-03,898.50,935.00,848.20,911.576,4936000,433.8877
2014-01-27,895.00,900.00,851.80,893.474,2961900,425.2715
2014-01-20,884.65,928.00,876.40,896.776,2257300,426.8432
2014-01-13,940.45,953.05,885.00,887.624,2984500,422.4871
2014-01-06,920.00,945.90,893.00,939.45,2666900,447.155
2013-12-30,935.00,937.474,896.674,917.75,1141200,436.8263
2013-12-23,922.55,934.00,909.60,930.624,1564800,442.954
2013-12-16,838.35,937.75,838.35,923.00,5432900,439.3252
2013-12-09,841.60,863.776,831.00,845.724,3080300,402.5437
2013-12-02,844.776,854.974,835.65,837.376,2240500,398.5703
2013-11-25,829.076,866.026,828.076,848.776,10606400,403.9964
2013-11-18,837.50,881.376,820.50,833.674,4449600,396.8082
2013-11-11,837.50,858.25,827.50,836.00,2973100,397.9153
2013-11-04,762.924,843.65,758.05,837.50,6700800,398.6293
2013-10-28,771.00,783.674,750.75,762.924,2419900,363.133
2013-10-21,766.05,788.826,733.50,770.70,4487800,366.8342
2013-10-14,780.00,797.25,753.30,768.124,3569100,365.6081
2013-10-07,702.45,781.70,701.174,774.924,5251100,368.8447
2013-09-30,662.20,706.35,656.526,700.35,3577600,333.3493
2013-09-23,649.026,677.50,649.026,653.224,3571900,310.9185
2013-09-16,648.70,671.826,628.724,648.20,5123400,308.5272
2013-09-09,680.15,698.50,640.00,644.65,4820600,302.1668
2013-09-02,690.00,717.50,676.50,680.15,3717500,318.8068
2013-08-26,685.00,714.00,673.10,687.50,5013700,322.2519
2013-08-19,660.00,686.40,613.30,683.10,5567000,320.1895
2013-08-12,625.00,673.424,620.60,662.224,4588300,310.4043
2013-08-05,615.50,638.50,605.15,622.326,3182000,291.7029
2013-07-29,604.124,637.50,600.25,616.60,3819400,289.019
2013-07-22,566.00,612.80,565.00,608.876,6579900,280.827
2013-07-15,561.05,570.724,541.00,566.15,4332500,261.1208
2013-07-08,516.00,563.924,508.00,560.95,4676600,258.7225
2013-07-01,528.00,534.70,482.50,519.326,4559000,239.5246
2013-06-24,492.00,549.00,492.00,529.90,3747600,244.4016
2013-06-17,482.75,513.724,475.50,497.75,2044900,229.5732
2013-06-10,474.45,496.00,461.75,482.876,2381500,222.713
2013-06-03,481.25,487.50,454.55,468.476,1885400,216.0714
2013-05-27,475.50,498.75,472.50,483.75,1341300,223.1161
2013-05-20,465.85,489.726,447.524,475.726,4251100,219.4153
2013-05-13,498.976,501.826,460.576,463.924,1427300,213.972
2013-05-06,494.95,509.00,484.00,488.024,1091600,225.0874
2013-04-29,465.35,496.90,462.024,493.326,930800,227.5328
2013-04-22,470.00,481.50,453.40,463.15,1231900,213.615
2013-04-15,487.00,491.45,468.25,475.15,620000,219.1496
2013-04-08,482.90,505.00,476.576,490.00,1336500,225.9988
2013-04-01,528.124,536.974,478.55,480.924,2002600,221.8127
2013-03-25,527.50,538.50,507.624,529.75,1356300,244.3324
2013-03-18,549.25,555.00,520.55,523.80,1219000,241.5881
2013-03-11,559.474,561.40,539.10,551.00,1687200,254.1333
2013-03-04,554.50,561.55,532.526,555.20,2493000,256.0705
2013-02-25,519.75,556.00,511.076,551.50,2598700,254.3639
2013-02-18,499.65,534.724,491.50,519.724,2738900,239.7081
2013-02-11,502.476,508.00,482.774,499.326,1682800,230.3001
2013-02-04,501.50,509.75,479.00,500.976,1666900,231.0612
2013-01-28,504.826,515.80,496.124,502.40,1683000,231.7179
2013-01-21,501.024,508.50,482.124,503.25,1942700,232.11
2013-01-14,495.50,513.974,490.00,499.476,2806200,230.3693
2013-01-07,474.70,505.976,456.25,494.674,2315300,228.1545
2012-12-31,464.95,478.774,459.50,471.25,1098300,217.3509
2012-12-24,457.424,468.376,449.174,460.376,1487600,212.3355
2012-12-17,476.00,483.45,451.65,453.20,2803500,209.0258
2012-12-10,440.00,475.924,434.50,474.10,5287800,218.6653
2012-12-03,441.076,451.10,432.75,440.174,1356100,203.0179
2012-11-26,453.876,456.95,433.80,440.05,1564100,202.9607
2012-11-19,455.40,459.274,433.55,451.826,1421300,208.3921
2012-11-12,468.00,475.00,452.674,455.45,473400,210.0636
2012-11-05,472.50,497.50,465.00,469.524,1284500,216.5548
2012-10-29,459.726,483.20,456.45,475.80,1030700,219.4494
2012-10-22,463.00,471.95,453.576,455.826,563300,210.237
2012-10-15,472.50,484.75,457.774,463.976,1169100,213.9959
2012-10-08,471.00,495.674,467.50,480.924,2236700,221.8127
2012-10-01,487.774,521.474,471.50,473.40,3987600,218.3425
2012-09-24,443.00,490.00,443.00,486.024,3038500,224.1649
2012-09-17,459.95,463.50,443.50,456.674,2515500,210.6281
2012-09-10,428.976,466.726,428.524,455.326,5348300,210.0064
2012-09-03,401.40,430.50,401.00,429.424,3982600,198.0598
2012-08-27,437.10,443.20,390.55,399.30,8788200,184.1659
2012-08-20,424.50,439.00,422.024,435.674,876900,200.9424
2012-08-13,403.00,429.25,399.50,424.50,1253500,195.7887
2012-08-06,386.124,402.90,374.076,399.90,1567800,184.4427
2012-07-30,352.50,386.30,352.50,380.80,1064600,175.6333
2012-07-23,354.174,369.00,351.576,358.024,427900,161.4991
2012-07-16,356.50,362.50,345.10,356.55,316600,160.8342
2012-07-09,361.00,365.90,351.00,356.376,370300,160.7557
2012-07-02,355.00,374.25,352.00,360.95,762600,162.819
2012-06-25,345.00,388.00,340.50,354.15,512200,159.7516
2012-06-18,399.00,399.00,337.624,344.174,319400,155.2516
2012-06-11,339.124,352.00,330.274,350.50,650600,158.1051
2012-06-04,327.524,344.00,319.274,339.45,452300,153.1207
2012-05-28,333.45,349.00,325.326,328.274,881800,148.0793
2012-05-21,307.25,339.45,302.70,333.45,1925800,150.4142
2012-05-14,317.50,326.50,300.00,305.524,608300,137.8172
2012-05-07,337.674,343.976,310.05,318.60,309300,143.7155
2012-04-30,346.976,356.00,335.00,341.124,259300,153.8758
2012-04-23,358.476,360.95,341.50,348.476,380800,157.1922
2012-04-16,357.924,362.826,350.75,355.624,277000,160.4165
2012-04-09,351.124,364.45,340.024,353.024,372900,159.2437
2012-04-02,358.976,365.75,354.75,362.274,243200,163.4162
2012-03-26,371.25,373.976,335.10,360.376,1334500,162.56
2012-03-19,304.45,374.50,303.10,370.774,5211400,167.2504
2012-03-12,324.00,327.20,301.50,302.726,403000,136.555
2012-03-05,299.00,326.70,297.20,320.476,420900,144.5618
2012-02-27,312.326,312.326,292.50,298.95,403700,134.8517
2012-02-20,330.70,335.476,304.00,306.024,451800,138.0427
2012-02-13,323.50,337.226,321.15,330.70,677300,149.1737
2012-02-06,328.024,333.45,317.00,325.124,902100,146.6584
2012-01-30,317.50,345.90,312.60,326.70,741200,147.3693
2012-01-23,304.50,321.00,297.80,318.674,587500,143.7489
2012-01-16,297.876,309.00,293.50,301.15,378700,135.8441
2012-01-09,297.55,314.45,296.00,301.00,379800,135.7764
2012-01-02,289.00,306.95,282.524,299.476,424900,135.089
2011-12-26,285.00,293.60,278.00,286.85,398200,129.3936
2011-12-19,279.924,309.376,271.50,283.826,433200,128.0295
2011-12-12,287.20,289.376,264.00,281.024,623300,126.7656
2011-12-05,285.674,301.00,276.50,279.326,583900,125.9996
2011-11-28,281.00,292.50,277.60,289.05,445800,130.386
2011-11-21,296.85,302.40,275.00,280.05,669400,126.3262
2011-11-14,300.876,311.85,294.40,299.50,1018000,135.0998
2011-11-08,316.024,317.00,296.00,298.674,619300,134.7272
2011-10-31,295.00,316.70,286.174,314.024,928900,141.6514
2011-10-24,294.424,298.25,275.50,293.75,579100,132.5061
2011-10-17,299.50,299.95,281.00,285.80,453500,128.92
2011-10-10,275.576,307.50,275.576,297.45,924800,134.1751
2011-10-03,278.124,284.35,264.85,281.524,654800,126.9911
2011-09-26,317.976,324.274,277.774,287.076,1240600,129.4955
2011-09-19,324.976,329.45,310.00,313.024,495000,141.2003
2011-09-12,325.576,328.50,309.00,325.226,821900,146.7044
2011-09-05,310.95,349.80,310.95,332.226,1336700,149.862
2011-08-29,308.00,333.274,308.00,317.674,479700,143.2978
2011-08-22,316.674,334.726,301.00,306.274,797000,138.1555
2011-08-16,374.90,374.90,310.976,319.00,1265400,143.896
2011-08-08,350.00,375.50,342.10,369.024,989500,166.461
2011-08-01,388.024,393.124,360.024,366.024,541100,165.1078
2011-07-25,376.00,399.00,373.024,387.976,1045400,171.388
2011-07-18,377.376,380.00,367.65,375.924,686800,166.064
2011-07-11,369.924,379.00,361.75,372.576,1001100,164.5851
2011-07-04,362.376,375.00,358.05,367.826,819700,162.4868
2011-06-27,346.50,365.75,340.60,359.10,697000,158.6321
2011-06-20,343.00,355.00,327.40,347.05,844300,153.309
2011-06-13,349.00,356.85,340.00,344.726,456700,152.2824
2011-06-06,343.476,397.50,342.424,349.174,850600,154.2473
2011-05-30,335.00,352.25,331.076,343.476,1339500,151.7302
2011-05-23,321.50,340.50,318.30,330.024,1451400,145.7878
2011-05-16,332.524,344.50,320.976,323.30,575300,142.8174
2011-05-09,337.876,342.45,330.00,336.424,363800,148.615
2011-05-02,343.00,348.226,325.00,334.70,430300,147.8534
2011-04-25,356.226,365.75,338.75,343.20,1092700,151.6083
2011-04-18,368.076,369.524,346.524,359.70,507400,158.8971
2011-04-11,368.05,373.25,360.65,366.15,759500,161.7464
2011-04-04,346.50,380.50,344.524,371.124,1678800,163.9436
2011-03-28,371.174,371.50,328.00,346.774,2166400,153.1871
2011-03-21,354.50,372.476,345.00,368.326,665400,162.7076
2011-03-14,360.90,379.50,349.70,352.424,1132300,155.683
2011-03-07,338.076,373.124,333.00,365.20,2402900,161.3267
2011-02-28,311.50,348.924,311.50,342.624,747900,151.3538
2011-02-21,329.55,351.30,317.60,320.826,1082800,141.7245
2011-02-14,291.50,337.40,288.124,330.15,1369600,145.8434
2011-02-07,318.50,321.00,238.426,285.85,685900,126.2739
2011-01-31,324.924,331.50,312.80,317.35,438600,140.189
2011-01-24,348.15,353.35,322.65,327.524,651700,144.6834
2011-01-17,342.50,369.30,323.00,345.226,652700,152.5032
2011-01-10,352.50,353.85,337.50,338.826,499800,149.676
