Date,axis,bhel,hcltech,idfc,sbin,techm
2015-06-29,-0.0116,-0.0122,-0.0392,-0.0328,-0.0092,-0.0843
2015-06-22,0.0253,0.0402,0.0425,0.0346,0.0194,-0.0411
2015-06-15,0.0002,-0.0284,0.0244,0.0151,0.0244,-0.0132
2015-06-08,0.0056,0.0063,-0.0351,-0.0162,-0.0149,-0.0037
2015-06-01,-0.0632,-0.0195,-0.0809,-0.0437,-0.0732,-0.0016
2015-05-25,0.0295,0.0754,0.027,-0.0007,-0.0028,-0.1689
2015-05-18,0.0117,0.0132,0.0769,-0.013,-0.0174,0.0788
2015-05-11,0.0393,-0.0017,-0.0125,-0.0213,0.0973,-0.0049
2015-05-04,-0.0475,-0.0281,0.051,-0.0465,-0.0289,0.0001
2015-04-27,0.0769,0.0173,-0.0183,0.0054,-0.021,0.0576
2015-04-20,-0.0121,-0.0036,-0.0416,-0.008,-0.0555,-0.0835
2015-04-13,-0.0605,0.0011,-0.0281,-0.0437,0.021,-0.029
2015-04-06,-0.0028,0.0169,0.0281,0.0194,0.045,0.0435
2015-03-30,0.0426,-0.009,-0.0228,0.0274,0.0374,-0.0204
2015-03-23,-0.0177,-0.0527,-0.0174,0.0057,-0.0527,-0.0478
2015-03-16,-0.0241,-0.0353,0.9475,0.0063,-0.0089,0.9253
2015-03-09,-0.0759,-0.0577,-0.5127,-0.0702,-0.0444,-0.5104
2015-03-02,0.0875,-0.002,0.0213,0.0374,-0.0203,0.015
2015-02-23,0.0101,-0.0158,0.0106,0.0144,-0.0079,0.0091
2015-02-16,-0.0337,0.0635,0.0039,-0.0205,-0.0151,-0.0265
2015-02-09,0.0319,-0.0182,0.0196,0.0453,0.0574,0.0092
2015-02-02,-0.0424,-0.0946,0.1002,-0.0363,-0.0604,-0.0028
2015-01-26,0.0406,0.0453,0.0881,-0.0129,-0.0565,0.0316
2015-01-19,0.0978,0.0192,0.0047,0.0478,0.038,-0.0128
2015-01-12,0.0401,0.075,0.0605,0.0802,0.0404,0.051
2015-01-05,-0.0376,-0.0746,-0.0372,-0.0302,-0.0382,0.028
